,Feature,Label,Full
1107,DP03_0125PE,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL Families with female householder, no husband present","Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Families with female householder, no husband present"
1111,DP03_0126PE,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL Families with female householder, no husband present With related children of the householder under 18 years","Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Families with female householder, no husband present!!With related children of the householder under 18 years"
1115,DP03_0127PE,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL Families with female householder, no husband present With related children of the householder under 18 years With related children of the householder under 5 years only","Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Families with female householder, no husband present!!With related children of the householder under 18 years!!With related children of the householder under 5 years only"
1119,DP03_0128PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people
1123,DP03_0129PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people Under 18 years,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years
1127,DP03_0130PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people Under 18 years Related children of the householder under 18 years,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years
1131,DP03_0131PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people Under 18 years Related children of the householder under 18 years Related children of the householder under 5 years,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years!!Related children of the householder under 5 years
1135,DP03_0132PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people Under 18 years Related children of the householder under 18 years Related children of the householder 5 to 17 years,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years!!Related children of the householder 5 to 17 years
1139,DP03_0133PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people 18 years and over,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over
1143,DP03_0134PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people 18 years and over 18 to 64 years,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over!!18 to 64 years
1147,DP03_0135PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All people 18 years and over 65 years and over,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over!!65 years and over
1151,DP03_0136PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL People in families,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!People in families
1155,DP03_0137PE,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL Unrelated individuals 15 years and over,Percent Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Unrelated individuals 15 years and over
1160,DP04_0001PE,HOUSING OCCUPANCY Total housing units,Percent Estimate!!HOUSING OCCUPANCY!!Total housing units
1164,DP04_0002PE,HOUSING OCCUPANCY Total housing units Occupied housing units,Percent Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units
1168,DP04_0003PE,HOUSING OCCUPANCY Total housing units Vacant housing units,Percent Estimate!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units
1172,DP04_0004PE,HOUSING OCCUPANCY Total housing units Homeowner vacancy rate,Percent Estimate!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate
1176,DP04_0005PE,HOUSING OCCUPANCY Total housing units Rental vacancy rate,Percent Estimate!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate
1180,DP04_0006PE,UNITS IN STRUCTURE Total housing units,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units
1184,DP04_0007PE,"UNITS IN STRUCTURE Total housing units 1-unit, detached","Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!1-unit, detached"
1188,DP04_0008PE,"UNITS IN STRUCTURE Total housing units 1-unit, attached","Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!1-unit, attached"
1192,DP04_0009PE,UNITS IN STRUCTURE Total housing units 2 units,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!2 units
1196,DP04_0010PE,UNITS IN STRUCTURE Total housing units 3 or 4 units,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!3 or 4 units
1200,DP04_0011PE,UNITS IN STRUCTURE Total housing units 5 to 9 units,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!5 to 9 units
1204,DP04_0012PE,UNITS IN STRUCTURE Total housing units 10 to 19 units,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!10 to 19 units
1208,DP04_0013PE,UNITS IN STRUCTURE Total housing units 20 or more units,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!20 or more units
1212,DP04_0014PE,UNITS IN STRUCTURE Total housing units Mobile home,Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!Mobile home
1216,DP04_0015PE,"UNITS IN STRUCTURE Total housing units Boat, RV, van, etc.","Percent Estimate!!UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc."
1220,DP04_0016PE,YEAR STRUCTURE BUILT Total housing units,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units
1224,DP04_0017PE,YEAR STRUCTURE BUILT Total housing units Built 2014 or later,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later
1228,DP04_0018PE,YEAR STRUCTURE BUILT Total housing units Built 2010 to 2013,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013
1232,DP04_0019PE,YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009
1236,DP04_0020PE,YEAR STRUCTURE BUILT Total housing units Built 1990 to 1999,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999
1240,DP04_0021PE,YEAR STRUCTURE BUILT Total housing units Built 1980 to 1989,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989
1244,DP04_0022PE,YEAR STRUCTURE BUILT Total housing units Built 1970 to 1979,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979
1248,DP04_0023PE,YEAR STRUCTURE BUILT Total housing units Built 1960 to 1969,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969
1252,DP04_0024PE,YEAR STRUCTURE BUILT Total housing units Built 1950 to 1959,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959
1256,DP04_0025PE,YEAR STRUCTURE BUILT Total housing units Built 1940 to 1949,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949
1260,DP04_0026PE,YEAR STRUCTURE BUILT Total housing units Built 1939 or earlier,Percent Estimate!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier
1264,DP04_0027PE,ROOMS Total housing units,Percent Estimate!!ROOMS!!Total housing units
1268,DP04_0028PE,ROOMS Total housing units 1 room,Percent Estimate!!ROOMS!!Total housing units!!1 room
1272,DP04_0029PE,ROOMS Total housing units 2 rooms,Percent Estimate!!ROOMS!!Total housing units!!2 rooms
1276,DP04_0030PE,ROOMS Total housing units 3 rooms,Percent Estimate!!ROOMS!!Total housing units!!3 rooms
1280,DP04_0031PE,ROOMS Total housing units 4 rooms,Percent Estimate!!ROOMS!!Total housing units!!4 rooms
1284,DP04_0032PE,ROOMS Total housing units 5 rooms,Percent Estimate!!ROOMS!!Total housing units!!5 rooms
1288,DP04_0033PE,ROOMS Total housing units 6 rooms,Percent Estimate!!ROOMS!!Total housing units!!6 rooms
1292,DP04_0034PE,ROOMS Total housing units 7 rooms,Percent Estimate!!ROOMS!!Total housing units!!7 rooms
1296,DP04_0035PE,ROOMS Total housing units 8 rooms,Percent Estimate!!ROOMS!!Total housing units!!8 rooms
1300,DP04_0036PE,ROOMS Total housing units 9 rooms or more,Percent Estimate!!ROOMS!!Total housing units!!9 rooms or more
1304,DP04_0037PE,ROOMS Total housing units Median rooms,Percent Estimate!!ROOMS!!Total housing units!!Median rooms
1308,DP04_0038PE,BEDROOMS Total housing units,Percent Estimate!!BEDROOMS!!Total housing units
1312,DP04_0039PE,BEDROOMS Total housing units No bedroom,Percent Estimate!!BEDROOMS!!Total housing units!!No bedroom
1316,DP04_0040PE,BEDROOMS Total housing units 1 bedroom,Percent Estimate!!BEDROOMS!!Total housing units!!1 bedroom
1320,DP04_0041PE,BEDROOMS Total housing units 2 bedrooms,Percent Estimate!!BEDROOMS!!Total housing units!!2 bedrooms
1324,DP04_0042PE,BEDROOMS Total housing units 3 bedrooms,Percent Estimate!!BEDROOMS!!Total housing units!!3 bedrooms
1328,DP04_0043PE,BEDROOMS Total housing units 4 bedrooms,Percent Estimate!!BEDROOMS!!Total housing units!!4 bedrooms
1332,DP04_0044PE,BEDROOMS Total housing units 5 or more bedrooms,Percent Estimate!!BEDROOMS!!Total housing units!!5 or more bedrooms
1336,DP04_0045PE,HOUSING TENURE Occupied housing units,Percent Estimate!!HOUSING TENURE!!Occupied housing units
1340,DP04_0046PE,HOUSING TENURE Occupied housing units Owner-occupied,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied
1344,DP04_0047PE,HOUSING TENURE Occupied housing units Renter-occupied,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied
1348,DP04_0048PE,HOUSING TENURE Occupied housing units Average household size of owner-occupied unit,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit
1352,DP04_0049PE,HOUSING TENURE Occupied housing units Average household size of renter-occupied unit,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit
1356,DP04_0050PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units
1360,DP04_0051PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2017 or later,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2017 or later
1364,DP04_0052PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2015 to 2016,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2016
1368,DP04_0053PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2010 to 2014,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014
1372,DP04_0054PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2000 to 2009,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009
1376,DP04_0055PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 1990 to 1999,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999
1380,DP04_0056PE,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 1989 and earlier,Percent Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier
1384,DP04_0057PE,VEHICLES AVAILABLE Occupied housing units,Percent Estimate!!VEHICLES AVAILABLE!!Occupied housing units
1388,DP04_0058PE,VEHICLES AVAILABLE Occupied housing units No vehicles available,Percent Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available
1392,DP04_0059PE,VEHICLES AVAILABLE Occupied housing units 1 vehicle available,Percent Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available
1396,DP04_0060PE,VEHICLES AVAILABLE Occupied housing units 2 vehicles available,Percent Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available
1400,DP04_0061PE,VEHICLES AVAILABLE Occupied housing units 3 or more vehicles available,Percent Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available
1404,DP04_0062PE,HOUSE HEATING FUEL Occupied housing units,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units
1408,DP04_0063PE,HOUSE HEATING FUEL Occupied housing units Utility gas,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Utility gas
1412,DP04_0064PE,"HOUSE HEATING FUEL Occupied housing units Bottled, tank, or LP gas","Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas"
1416,DP04_0065PE,HOUSE HEATING FUEL Occupied housing units Electricity,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Electricity
1420,DP04_0066PE,"HOUSE HEATING FUEL Occupied housing units Fuel oil, kerosene, etc.","Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc."
1424,DP04_0067PE,HOUSE HEATING FUEL Occupied housing units Coal or coke,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke
1428,DP04_0068PE,HOUSE HEATING FUEL Occupied housing units Wood,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Wood
1432,DP04_0069PE,HOUSE HEATING FUEL Occupied housing units Solar energy,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Solar energy
1436,DP04_0070PE,HOUSE HEATING FUEL Occupied housing units Other fuel,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!Other fuel
1440,DP04_0071PE,HOUSE HEATING FUEL Occupied housing units No fuel used,Percent Estimate!!HOUSE HEATING FUEL!!Occupied housing units!!No fuel used
1444,DP04_0072PE,SELECTED CHARACTERISTICS Occupied housing units,Percent Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units
1448,DP04_0073PE,SELECTED CHARACTERISTICS Occupied housing units Lacking complete plumbing facilities,Percent Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities
1452,DP04_0074PE,SELECTED CHARACTERISTICS Occupied housing units Lacking complete kitchen facilities,Percent Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities
1456,DP04_0075PE,SELECTED CHARACTERISTICS Occupied housing units No telephone service available,Percent Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
1460,DP04_0076PE,OCCUPANTS PER ROOM Occupied housing units,Percent Estimate!!OCCUPANTS PER ROOM!!Occupied housing units
1464,DP04_0077PE,OCCUPANTS PER ROOM Occupied housing units 1.00 or less,Percent Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less
1468,DP04_0078PE,OCCUPANTS PER ROOM Occupied housing units 1.01 to 1.50,Percent Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50
1472,DP04_0079PE,OCCUPANTS PER ROOM Occupied housing units 1.51 or more,Percent Estimate!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more
1476,DP04_0080PE,VALUE Owner-occupied units,Percent Estimate!!VALUE!!Owner-occupied units
1480,DP04_0081PE,"VALUE Owner-occupied units Less than $50,000","Percent Estimate!!VALUE!!Owner-occupied units!!Less than $50,000"
1484,DP04_0082PE,"VALUE Owner-occupied units $50,000 to $99,999","Percent Estimate!!VALUE!!Owner-occupied units!!$50,000 to $99,999"
1488,DP04_0083PE,"VALUE Owner-occupied units $100,000 to $149,999","Percent Estimate!!VALUE!!Owner-occupied units!!$100,000 to $149,999"
1492,DP04_0084PE,"VALUE Owner-occupied units $150,000 to $199,999","Percent Estimate!!VALUE!!Owner-occupied units!!$150,000 to $199,999"
1496,DP04_0085PE,"VALUE Owner-occupied units $200,000 to $299,999","Percent Estimate!!VALUE!!Owner-occupied units!!$200,000 to $299,999"
1500,DP04_0086PE,"VALUE Owner-occupied units $300,000 to $499,999","Percent Estimate!!VALUE!!Owner-occupied units!!$300,000 to $499,999"
1504,DP04_0087PE,"VALUE Owner-occupied units $500,000 to $999,999","Percent Estimate!!VALUE!!Owner-occupied units!!$500,000 to $999,999"
1508,DP04_0088PE,"VALUE Owner-occupied units $1,000,000 or more","Percent Estimate!!VALUE!!Owner-occupied units!!$1,000,000 or more"
1512,DP04_0089PE,VALUE Owner-occupied units Median (dollars),Percent Estimate!!VALUE!!Owner-occupied units!!Median (dollars)
1516,DP04_0090PE,MORTGAGE STATUS Owner-occupied units,Percent Estimate!!MORTGAGE STATUS!!Owner-occupied units
1520,DP04_0091PE,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,Percent Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage
1524,DP04_0092PE,MORTGAGE STATUS Owner-occupied units Housing units without a mortgage,Percent Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage
1528,DP04_0093PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage
1532,DP04_0094PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Less than $500,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500
1536,DP04_0095PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $500 to $999,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999
1540,DP04_0096PE,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $1,000 to $1,499","Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499"
1544,DP04_0097PE,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $1,500 to $1,999","Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999"
1548,DP04_0098PE,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $2,000 to $2,499","Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499"
1552,DP04_0099PE,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $2,500 to $2,999","Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999"
1556,DP04_0100PE,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $3,000 or more","Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more"
1560,DP04_0101PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)
1564,DP04_0102PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage
1568,DP04_0103PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Less than $250,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250
1572,DP04_0104PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $250 to $399,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399
1576,DP04_0105PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $400 to $599,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599
1580,DP04_0106PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $600 to $799,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799
1584,DP04_0107PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $800 to $999,Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999
1588,DP04_0108PE,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $1,000 or more","Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more"
1592,DP04_0109PE,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),Percent Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)
1596,DP04_0110PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)
1600,DP04_0111PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) Less than 20.0 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent
1604,DP04_0112PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 20.0 to 24.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent
1608,DP04_0113PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 25.0 to 29.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent
1612,DP04_0114PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 30.0 to 34.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent
1616,DP04_0115PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 35.0 percent or more,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more
1620,DP04_0116PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) Not computed,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed
1624,DP04_0117PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)
1628,DP04_0118PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) Less than 10.0 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent
1632,DP04_0119PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 10.0 to 14.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent
1636,DP04_0120PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 15.0 to 19.9 percent,Percent Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent
